ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple
[[0.00058755]],0.29787692,,
[[1.27266985e-05]],0.18971023,,
[[1.2020587e-05]],0.15290691,,
[[1.1157361e-05]],0.13008644,,
[[1.740311e-05]],0.1263297,,
[[2.3865668e-05]],0.11275096,,
[[1.5843669e-05]],0.123353206,,
[[0.00061026]],0.09399121,,
[[3.018465e-05]],0.09924006,,
[[1.487885e-05]],0.08095749,,
[[2.6064425e-05]],0.086426646,,
[[0.00037419]],0.064722516,,
[[0.00010638]],0.08074494,,
[[2.3251854e-05]],0.07551773,,
[[0.00187142]],0.070568055,,
[[4.7353886e-05]],0.07793064,,
,,0.42,0.94
[[3.2378895e-05]],0.07689155,,
[[9.083289e-05]],0.073184274,,
[[0.00050077]],0.06647018,,
[[1.9918862e-05]],0.05631903,,
[[1.9406558e-05]],0.06855894,,
[[0.00023229]],0.066363536,,
[[3.2158547e-05]],0.048660964,,
[[0.00119508]],0.08280542,,
[[2.0397969e-05]],0.059228882,,
[[5.031939e-05]],0.06700954,,
[[0.00057457]],0.0696927,,
[[0.00061871]],0.054137975,,
[[3.8340353e-05]],0.0464906,,
[[0.00017769]],0.06251602,,
[[0.00073153]],0.043456264,,
[[1.8258157e-05]],0.05880078,,
,,0.72,0.84
[[0.00025631]],0.04947391,,
[[0.00010526]],0.047064707,,
[[0.00027117]],0.044818565,,
[[8.273598e-05]],0.048610378,,
[[0.00102301]],0.057950616,,
[[0.00098721]],0.048440915,,
[[6.233883e-05]],0.041999526,,
[[1.663045e-05]],0.045825414,,
[[0.00018537]],0.0451309,,
[[0.00030632]],0.04735267,,
[[4.0905637e-05]],0.048245512,,
[[5.279254e-05]],0.04221531,,
[[8.068819e-05]],0.050617274,,
[[2.7002176e-05]],0.047470994,,
[[0.0013586]],0.042038612,,
[[3.1821233e-05]],0.054743785,,
,,0.58,0.82
[[0.0012384]],0.05414247,,
[[1.8886492e-05]],0.055515736,,
[[3.0567197e-05]],0.053130206,,
[[7.5620854e-05]],0.045405407,,
[[3.623426e-05]],0.048104078,,
[[0.00021559]],0.047273766,,
[[3.8038444e-05]],0.036470804,,
[[0.00043761]],0.04456326,,
[[6.949435e-05]],0.03858183,,
[[0.00023058]],0.044639263,,
[[0.00104748]],0.046161562,,
[[8.552872e-05]],0.06346777,,
[[0.00132128]],0.046565667,,
[[4.3696837e-05]],0.04876886,,
[[0.00034901]],0.039190046,,
[[0.00077125]],0.044886008,,
,,0.78,0.82
[[0.00062642]],0.043811407,,
[[2.4827685e-05]],0.032655098,,
[[0.00131206]],0.033825047,,
[[3.464471e-05]],0.039677136,,
[[0.00018532]],0.0413626,,
[[0.00011696]],0.038173564,,
[[8.622237e-05]],0.042605627,,
[[0.00012438]],0.048256766,,
[[4.085063e-05]],0.042151514,,
[[0.00100787]],0.037301682,,
[[4.6271325e-05]],0.04410054,,
[[0.00073647]],0.044040266,,
[[2.958564e-05]],0.04389783,,
[[0.00103289]],0.03845994,,
[[0.00016491]],0.03780153,,
[[5.13136e-05]],0.043282475,,
,,0.76,0.86
[[0.00028389]],0.038654927,,
[[1.608746e-05]],0.037911188,,
[[0.00062744]],0.038196903,,
[[7.268169e-05]],0.042265583,,
[[0.00016736]],0.043920044,,
[[4.224906e-05]],0.036888245,,
[[0.00014759]],0.030977532,,
[[0.00019574]],0.038435876,,
[[5.6992634e-05]],0.043611236,,
[[0.0005361]],0.0357172,,
[[0.00031922]],0.045030136,,
[[0.00014703]],0.041264758,,
[[6.244559e-05]],0.035209753,,
[[6.8526955e-05]],0.031103421,,
[[0.00017929]],0.03726113,,
[[0.00017242]],0.03585994,,
,,0.8,0.76
[[0.00173724]],0.04213332,,
[[5.0504503e-05]],0.04112287,,
[[2.5358791e-05]],0.033100277,,
[[0.0002155]],0.0377198,,
[[0.00016844]],0.033808433,,
[[7.278027e-05]],0.033297867,,
[[0.00331271]],0.036083303,,
[[3.8024435e-05]],0.038389083,,
[[2.35838e-05]],0.04630351,,
[[6.0684375e-05]],0.028210444,,
[[6.355778e-05]],0.035858385,,
[[0.00012678]],0.034134403,,
[[3.674456e-05]],0.036173902,,
[[4.845245e-05]],0.04115227,,
[[1.7201231e-05]],0.03474206,,
[[0.00019093]],0.032258764,,
,,0.94,0.86
[[2.3769438e-05]],0.037372056,,
[[7.088842e-05]],0.042151116,,
[[0.00039027]],0.035757866,,
[[4.324234e-05]],0.046099488,,
[[2.4984798e-05]],0.03038539,,
[[7.0153255e-05]],0.034958873,,
[[0.00025457]],0.04263277,,
[[3.16439e-05]],0.038771328,,
[[3.9698425e-05]],0.044503585,,
[[0.00020222]],0.037893027,,
[[4.674975e-05]],0.028575571,,
[[0.00092337]],0.03271211,,
[[1.6724905e-05]],0.03266449,,
[[0.00129404]],0.036974017,,
[[2.7906834e-05]],0.030172635,,
[[0.00097809]],0.033319,,
,,0.74,0.9
[[2.886974e-05]],0.039777473,,
[[0.00075759]],0.035132542,,
[[1.5826052e-05]],0.027491784,,
[[0.00025674]],0.03306582,,
[[2.1652437e-05]],0.02974576,,
[[1.4186622e-05]],0.030557409,,
[[0.00013447]],0.0332463,,
[[0.0003048]],0.034315303,,
[[9.951573e-05]],0.030673975,,
[[4.164681e-05]],0.03814268,,
[[0.00068091]],0.036864873,,
[[0.00037202]],0.036951285,,
[[3.0190722e-05]],0.04148034,,
[[0.00017046]],0.02999803,,
[[6.219174e-05]],0.029787261,,
[[0.00012884]],0.038114235,,
,,0.86,0.76
[[9.0760164e-05]],0.035985183,,
[[0.00024906]],0.03058501,,
[[2.7696637e-05]],0.031852476,,
[[0.00014927]],0.03687022,,
[[1.909749e-05]],0.03504564,,
[[0.00010725]],0.02794133,,
[[1.775382e-05]],0.035694517,,
[[0.00031216]],0.037032977,,
[[3.4948363e-05]],0.0317406,,
[[7.4367905e-05]],0.03197961,,
[[6.8700305e-05]],0.031086225,,
[[0.00035974]],0.02892844,,
[[0.00033946]],0.02927059,,
[[7.892179e-05]],0.036076073,,
[[0.000661]],0.03516467,,
[[0.00018717]],0.027016386,,
,,0.86,0.78
[[4.749722e-05]],0.036073364,,
[[0.000379]],0.035150636,,
[[3.915118e-05]],0.028703017,,
[[0.00012801]],0.03383623,,
[[8.9739864e-05]],0.032285187,,
[[0.0003426]],0.035779666,,
[[2.9275003e-05]],0.03250387,,
[[0.00015322]],0.031448685,,
[[8.248198e-05]],0.029472101,,
[[0.00051798]],0.028650977,,
[[0.00013111]],0.033128515,,
[[4.6178433e-05]],0.03232841,,
[[0.00011992]],0.036109447,,
[[0.00066184]],0.034446687,,
[[1.785014e-05]],0.031854797,,
[[0.00030236]],0.03279439,,
,,0.84,0.88
[[2.527923e-05]],0.03559102,,
[[0.00077428]],0.030315593,,
[[2.095363e-05]],0.032138392,,
[[0.0002493]],0.032677963,,
[[3.4103286e-05]],0.032856517,,
[[8.176797e-05]],0.03424615,,
[[7.9384175e-05]],0.035427265,,
[[8.841173e-05]],0.028761948,,
[[7.925409e-05]],0.02694948,,
[[9.63892e-05]],0.040571857,,
[[0.00113647]],0.031599354,,
[[0.00023427]],0.027592614,,
[[8.484231e-05]],0.02943702,,
[[0.00012456]],0.027513837,,
[[0.00025508]],0.04120495,,
[[8.350551e-05]],0.03220983,,
,,0.84,0.86
[[1.2345698e-05]],0.03059026,,
[[0.00063621]],0.023950439,,
[[3.5957226e-05]],0.03488138,,
[[2.8016277e-05]],0.025318563,,
[[0.0022949]],0.029232876,,
[[3.1413943e-05]],0.029943885,,
[[0.00267353]],0.034654237,,
[[0.00017645]],0.0301272,,
[[2.03384e-05]],0.035929326,,
[[3.2793672e-05]],0.034248795,,
[[9.532288e-05]],0.042014122,,
[[2.91692e-05]],0.03460012,,
[[0.00059759]],0.02883652,,
[[1.760156e-05]],0.029872531,,
[[0.00081889]],0.027008915,,
[[1.6322327e-05]],0.030805927,,
,,0.82,0.8
[[1.9378833e-05]],0.027606294,,
[[0.00024489]],0.03391786,,
[[3.7143152e-05]],0.027374828,,
[[0.00015137]],0.032970116,,
[[0.00046511]],0.029585253,,
[[2.1011088e-05]],0.037605133,,
[[0.0001099]],0.02961396,,
[[0.00118935]],0.030295108,,
[[1.869873e-05]],0.031227257,,
[[0.00062381]],0.029031342,,
[[4.5123204e-05]],0.030523531,,
[[4.5331268e-05]],0.029086076,,
[[0.00044371]],0.03254272,,
[[0.00077642]],0.032801136,,
[[4.6987945e-05]],0.04389594,,
[[4.9813e-05]],0.03326568,,
,,0.84,0.86
[[0.00140504]],0.026578037,,
[[3.9085808e-05]],0.032547507,,
[[5.9016547e-05]],0.0297981,,
[[4.3228654e-05]],0.040152393,,
[[0.00036139]],0.026703384,,
[[3.915769e-05]],0.03176717,,
[[0.00019619]],0.03301861,,
[[2.1609723e-05]],0.034190666,,
[[9.274618e-05]],0.030894738,,
[[1.452016e-05]],0.025044782,,
[[0.00040388]],0.031462252,,
[[6.8985486e-05]],0.02539417,,
[[0.00026926]],0.03447147,,
[[3.7059537e-05]],0.030194808,,
[[8.358759e-05]],0.029657379,,
[[0.00025559]],0.033569917,,
,,0.88,0.76
[[6.178298e-05]],0.026500871,,
[[7.6838456e-05]],0.027305532,,
[[0.00043231]],0.029127562,,
[[9.3930255e-05]],0.03580627,,
[[4.6691606e-05]],0.034482572,,
[[0.00011409]],0.027396474,,
[[9.074473e-05]],0.023775637,,
[[3.8585782e-05]],0.032893397,,
[[0.00014952]],0.029121356,,
[[1.6940096e-05]],0.030002953,,
[[0.0009914]],0.031908453,,
[[2.6423597e-05]],0.026487816,,
[[0.00148533]],0.030344047,,
[[2.7482816e-05]],0.026347112,,
[[3.0778036e-05]],0.024727412,,
[[9.348454e-05]],0.027135111,,
,,0.84,0.82
[[1.986944e-05]],0.028372852,,
[[0.00043734]],0.023613255,,
[[0.00054121]],0.029839616,,
[[4.1950927e-05]],0.028782807,,
[[1.3653109e-05]],0.029055187,,
[[0.00010539]],0.025365619,,
[[0.00112281]],0.03268116,,
[[3.3076994e-05]],0.038948685,,
[[0.00024819]],0.035898536,,
[[6.1895254e-05]],0.036379013,,
[[0.00112938]],0.030630935,,
[[2.3655746e-05]],0.027284153,,
[[2.884883e-05]],0.029678907,,
[[0.00011509]],0.031871464,,
[[0.00012108]],0.027288027,,
[[1.6266662e-05]],0.028783208,,
,,0.78,0.72
[[0.00131895]],0.026678434,,
[[1.858911e-05]],0.029346742,,
[[0.00012686]],0.032822862,,
[[0.00011376]],0.028895939,,
[[0.001036]],0.030618167,,
[[2.3904333e-05]],0.026398014,,
[[0.00157359]],0.02725257,,
[[3.3111333e-05]],0.024864066,,
[[1.6113985e-05]],0.025383865,,
[[0.00010465]],0.024283066,,
[[0.00063074]],0.02481126,,
[[0.0001176]],0.027710333,,
[[6.7317276e-05]],0.029784577,,
[[5.5958204e-05]],0.03561621,,
[[6.825136e-05]],0.026751187,,
[[0.00018157]],0.0313928,,
,,0.88,0.78
[[4.6864607e-05]],0.024830315,,
[[8.326956e-05]],0.02712982,,
[[0.0002091]],0.029724123,,
[[9.045705e-05]],0.03041861,,
[[6.9232745e-05]],0.025915973,,
[[0.00010531]],0.029694075,,
[[0.00030306]],0.026032131,,
[[0.00043742]],0.028038042,,
[[0.00016729]],0.029790854,,
[[0.00010466]],0.03101958,,
[[8.1825034e-05]],0.027173627,,
[[7.067441e-05]],0.031971227,,
[[0.0002726]],0.030594844,,
[[3.1262363e-05]],0.026987713,,
[[0.0003355]],0.025058327,,
[[0.00010565]],0.02939382,,
,,0.86,0.8
[[0.00070818]],0.02622471,,
[[2.1270838e-05]],0.0300385,,
[[0.00031722]],0.027769865,,
[[0.00041484]],0.02271099,,
[[7.3190415e-05]],0.026438992,,
[[0.00013147]],0.02796474,,
[[3.697561e-05]],0.02726038,,
[[0.000379]],0.033237893,,
[[4.4007207e-05]],0.02494245,,
[[6.9162226e-05]],0.02784513,,
[[0.00015552]],0.033129387,,
[[8.509313e-05]],0.029657686,,
[[0.00035802]],0.035798058,,
[[0.00164925]],0.029633174,,
[[0.00037363]],0.028574567,,
[[3.52999e-05]],0.025132816,,
,,0.84,0.92
[[0.00012984]],0.025907578,,
[[0.00020434]],0.02759576,,
[[0.00057128]],0.02574321,,
[[5.5897923e-05]],0.024548307,,
[[0.00051691]],0.029247487,,
[[9.763909e-05]],0.02698011,,
[[1.227496e-05]],0.031781662,,
[[0.00036345]],0.037254013,,
[[5.47071e-05]],0.029813332,,
[[5.1476836e-05]],0.027619177,,
[[0.00024265]],0.0253251,,
[[0.00024823]],0.025821926,,
[[6.376242e-05]],0.033821333,,
[[2.7236109e-05]],0.027535884,,
[[0.00018385]],0.02778382,,
[[7.956665e-05]],0.031077608,,
,,0.8,0.76
[[0.00022201]],0.029530775,,
[[5.7213136e-05]],0.036334474,,
[[0.00016809]],0.031631123,,
[[2.1657988e-05]],0.027668834,,
[[0.00022837]],0.029976232,,
[[2.8130748e-05]],0.032413177,,
[[0.00081476]],0.02708543,,
[[0.00013925]],0.028727202,,
[[0.0004683]],0.027934847,,
[[1.555786e-05]],0.027932541,,
[[0.00092402]],0.028551295,,
[[6.0194074e-05]],0.039417982,,
[[7.1027585e-05]],0.03223038,,
[[3.1152136e-05]],0.028009165,,
[[6.743728e-05]],0.032671258,,
[[0.00151378]],0.030041073,,
,,0.88,0.84
[[0.00016697]],0.026844189,,
[[0.00014265]],0.03133467,,
[[0.00091317]],0.032755,,
[[2.5251433e-05]],0.029028134,,
[[0.0015758]],0.02564599,,
[[2.6601308e-05]],0.02298105,,
[[0.00095653]],0.035378627,,
[[0.00019225]],0.034845654,,
[[2.8881355e-05]],0.024223657,,
[[0.00105078]],0.027341947,,
[[0.00050768]],0.03218912,,
[[0.00036444]],0.029109597,,
[[1.8231824e-05]],0.023688128,,
[[0.00010508]],0.03175318,,
[[0.00018811]],0.029692076,,
[[4.479552e-05]],0.022179296,,
,,0.9,0.84
[[5.150112e-05]],0.025244944,,
[[0.00050534]],0.032618012,,
[[1.7359655e-05]],0.027832331,,
[[0.00016649]],0.025883999,,
[[0.00016325]],0.02768233,,
[[5.5124834e-05]],0.028624225,,
[[0.00056223]],0.026766496,,
[[0.00023946]],0.032997612,,
[[0.00022319]],0.029426012,,
[[8.2850245e-05]],0.02635896,,
[[0.00035304]],0.030274,,
[[0.00022996]],0.029310703,,
[[0.00015102]],0.02729828,,
[[4.4674773e-05]],0.028979773,,
[[7.790178e-05]],0.029674053,,
[[3.0781415e-05]],0.025903584,,
,,0.82,0.74
[[0.00037726]],0.028701248,,
[[3.329369e-05]],0.027801473,,
[[0.00026965]],0.024752703,,
[[0.00013348]],0.026173305,,
[[0.00277507]],0.032708153,,
[[0.00017737]],0.025927907,,
[[1.5142536e-05]],0.029301507,,
[[0.00017953]],0.023128875,,
[[0.00149988]],0.028903952,,
[[1.8022516e-05]],0.02927082,,
[[0.00184273]],0.027414655,,
[[0.00024922]],0.027010944,,
[[1.2985289e-05]],0.031640492,,
[[0.0005036]],0.02621538,,
[[0.00033028]],0.026480265,,
